taxid	Guild	Trophic.Mode	Mycorrhizal	Endophyte	Pathogens	Saprotrophs	Pathotroph	Saprotroph	Symbiotroph
AB011514_SH1295125.10FU	Endophyte-|Undefined Saprotroph|	Saprotroph-Symbiotroph	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE
AB015913_SH1850647.10FU	|Plant Pathogen|	Pathotroph	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
AB018043_SH1085902.10FU	|Undefined Saprotroph|	Saprotroph	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
AB025686_SH1241579.10FU	Endophyte-Fungal Parasite-|Plant Pathogen|-Plant Saprotroph-Undefined Saprotroph	Pathotroph-Saprotroph	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
AB025708_SH1234779.10FU	|Plant Pathogen|	Pathotroph	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
AB026147_SH1326734.10FU	|Plant Pathogen|	Pathotroph	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
AB027377_SH1388482.10FU	Endophyte-Insect Pathogen	Pathotroph-Symbiotroph	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE
AB030352_SH1200286.10FU	|Fungal Parasite|-Undefined Saprotroph	Pathotroph-Saprotroph	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE
AB038079_SH1407357.10FU	|Undefined Saprotroph|	Saprotroph	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
AB038127_SH1337937.10FU	|Epiphyte|-Plant Saprotroph-Undefined Saprotroph	Saprotroph-Symbiotroph	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE
AB070356_SH1349451.10FU	Animal Pathogen-|Undefined Saprotroph|	Pathotroph-Saprotroph	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE
AB072229_SH1087625.10FU	|Plant Pathogen|-Plant Saprotroph	Pathotroph	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
AB072233_SH1087629.10FU	|Plant Pathogen|-Plant Saprotroph	Pathotroph	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
AB077623_SH1876263.10FU	|Plant Pathogen|	Pathotroph	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
AB080523_SH1297693.10FU	|Plant Pathogen|	Pathotroph	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
AB080543_SH1297714.10FU	|Plant Pathogen|	Pathotroph	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
AB080548_SH1354927.10FU	|Plant Pathogen|	Pathotroph	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
AB086382_SH1205835.10FU	|Animal Parasite|-Animal Pathogen-Undefined Saprotroph	Pathotroph-Saprotroph	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE
AB089366_SH1066209.10FU	|Undefined Saprotroph|	Saprotroph	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
AB089372_SH1330536.10FU	|Plant Pathogen|	Pathotroph	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
AB100440_SH1135737.10FU	|Animal Parasite|-Undefined Saprotroph	Pathotroph-Saprotroph	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE
AB105353_SH1202604.10FU	Animal Pathogen-Endophyte-Epiphyte-|Undefined Saprotroph|	Pathotroph-Saprotroph-Symbiotroph	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE
AB114223_SH1234218.10FU	Endophyte-Epiphyte-Fungal Parasite-Insect Parasite	Pathotroph-Symbiotroph	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE
AB116533_SH1357571.10FU	|Undefined Saprotroph|	 Saprotroph	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
AB176617_SH1736523.10FU	Animal Parasite-|Undefined Saprotroph|	Pathotroph-Saprotroph	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE
AB193591_SH1340015.10FU	|Plant Pathogen|	Pathotroph	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
AB196214_SH1288361.10FU	|Undefined Saprotroph|	Saprotroph	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
AB253519_SH1328095.10FU	|Ectomycorrhizal|	Symbiotroph	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
